學年度,學校,校系代碼,校系名稱,是否外加,招生名額,錄取人數,第一輪錄取人數,第一輪在校排名%,第二輪錄取人數,第二輪在校排名%,國文檢定,英文檢定,數A檢定,數B檢定,社會檢定,自然檢定,英聽檢定
115,國立臺灣大學,00147,物理治療學系,False,7,7.0,3.0,8.0,4.0,3.0,前標,頂標,前標,,,頂標,
115,國立臺灣大學,00148,職能治療學系,False,2,2.0,2.0,1.0,,,前標,前標,前標,,,前標,
115,國立臺灣大學,00149,農藝學系,False,5,5.0,,,5.0,13.0,,前標,前標,,,前標,
115,國立臺灣大學,00150,農業化學系,False,4,4.0,1.0,15.0,3.0,3.0,前標,前標,前標,,,前標,
115,國立臺灣大學,00151,森林環境暨資源學系,False,7,7.0,5.0,7.0,2.0,7.0,,均標,前標,,,前標,
115,國立臺灣大學,00151,森林環境暨資源學系【外加】,True,2,0.0,,,,,,均標,前標,,,前標,
115,國立臺灣大學,00152,動物科學技術學系,False,8,8.0,,,8.0,13.0,前標,前標,均標,,,前標,
115,國立臺灣大學,00153,農業經濟學系,False,8,8.0,8.0,2.0,,,均標,均標,均標,,,,
115,國立臺灣大學,00153,農業經濟學系【外加】,True,1,1.0,1.0,12.0,,,均標,均標,均標,,,,
115,國立臺灣大學,00154,園藝暨景觀學系,False,7,2.0,,,2.0,16.0,前標,前標,前標,,,前標,
115,國立臺灣大學,00155,獸醫學系,False,5,5.0,5.0,1.0,,,前標,前標,前標,,,前標,
115,國立臺灣大學,00156,昆蟲學系,False,3,0.0,,,,,前標,前標,前標,,,前標,
115,國立臺灣大學,00157,植物病理與微生物學系,False,2,2.0,,,2.0,5.0,前標,前標,前標,,,頂標,
115,國立臺灣大學,00157,植物病理與微生物學系【外加】,True,1,0.0,,,,,前標,前標,前標,,,頂標,
115,國立臺灣大學,00158,公共衛生學系,False,6,6.0,1.0,3.0,5.0,5.0,,前標,前標,,均標,前標,
115,國立臺灣大學,00159,生命科學系,False,6,6.0,,,6.0,3.0,前標,頂標,前標,,,頂標,
115,國立臺灣大學,00160,生化科技學系,False,4,4.0,,,4.0,4.0,前標,前標,頂標,,,頂標,
115,國立臺灣師範大學,00201,教育學系,False,8,8.0,8.0,6.0,,,前標,前標,,,均標,,
115,國立臺灣師範大學,00201,教育學系【外加】,True,2,1.0,1.0,5.0,,,前標,前標,,,均標,,
115,國立臺灣師範大學,00202,教育心理與輔導學系,False,8,8.0,8.0,2.0,,,均標,前標,,均標,均標,,
115,國立臺灣師範大學,00202,教育心理與輔導學系【外加】,True,3,1.0,1.0,17.0,,,均標,前標,,均標,均標,,
115,國立臺灣師範大學,00203,社會教育學系,False,6,6.0,6.0,5.0,,,均標,均標,,均標,均標,,
115,國立臺灣師範大學,00203,社會教育學系【外加】,True,2,0.0,,,,,均標,均標,,均標,均標,,
115,國立臺灣師範大學,00204,幼兒與家庭科學學系家庭生活與教育組,False,7,7.0,6.0,18.0,1.0,6.0,均標,均標,,,,,
115,國立臺灣師範大學,00205,幼兒與家庭科學學系幼兒發展與教育組,False,7,7.0,6.0,10.0,1.0,2.0,均標,均標,,,,,
115,國立臺灣師範大學,00206,公民教育與活動領導學系,False,12,12.0,12.0,5.0,,,前標,均標,,均標,前標,,
115,國立臺灣師範大學,00206,公民教育與活動領導學系【外加】,True,3,1.0,1.0,14.0,,,前標,均標,,均標,前標,,
115,國立臺灣師範大學,00207,特殊教育學系,False,6,6.0,6.0,3.0,,,均標,均標,,,,,
