學年度,學校,校系代碼,校系名稱,是否外加,招生名額,錄取人數,第一輪錄取人數,第一輪在校排名%,第二輪錄取人數,第二輪在校排名%,國文檢定,英文檢定,數A檢定,數B檢定,社會檢定,自然檢定,英聽檢定,比序
113,國立臺灣大學,00157,植物病理與微生物學系【外加】,True,1,0.0,,,,,頂標,頂標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': '16%', 'r2': '4%'}]"
113,國立臺灣大學,00158,公共衛生學系,False,6,6.0,2.0,16.0,4.0,4.0,前標,前標,前標,,均標,前標,,"[{'name': '在校學業', 'r1': '16%', 'r2': '4%'}, {'name': '學測英數A社自', 'r1': None, 'r2': '48'}, {'name': '學測數A', 'r1': None, 'r2': '11'}, {'name': '在校學業', 'r1': '1%', 'r2': '4%'}]"
113,國立臺灣大學,00159,生命科學系,False,6,6.0,3.0,1.0,3.0,4.0,前標,頂標,前標,,,頂標,,"[{'name': '在校學業', 'r1': '1%', 'r2': '4%'}, {'name': '在校學業', 'r1': '9%', 'r2': '1%'}]"
113,國立臺灣大學,00160,生化科技學系,False,3,3.0,2.0,9.0,1.0,1.0,前標,前標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': '9%', 'r2': '1%'}]"
113,國立臺灣師範大學,00201,教育學系,False,8,8.0,8.0,6.0,,,前標,前標,,,均標,,,"[{'name': '在校學業', 'r1': '6%', 'r2': None}, {'name': '學測國英數B社', 'r1': '49', 'r2': None}]"
113,國立臺灣師範大學,00201,教育學系【外加】,True,2,0.0,,,,,前標,前標,,,均標,,,"[{'name': '在校學業', 'r1': '2%', 'r2': None}]"
113,國立臺灣師範大學,00202,教育心理與輔導學系,False,8,8.0,8.0,2.0,,,均標,前標,,均標,均標,,,"[{'name': '在校學業', 'r1': '2%', 'r2': None}, {'name': '學測英文', 'r1': '14', 'r2': None}, {'name': '在校學業', 'r1': '3%', 'r2': None}]"
113,國立臺灣師範大學,00202,教育心理與輔導學系【外加】,True,3,1.0,1.0,3.0,,,均標,前標,,均標,均標,,,"[{'name': '在校學業', 'r1': '3%', 'r2': None}]"
113,國立臺灣師範大學,00203,社會教育學系,False,6,6.0,6.0,3.0,,,均標,均標,,均標,均標,,,"[{'name': '在校學業', 'r1': '3%', 'r2': None}]"
113,國立臺灣師範大學,00203,社會教育學系【外加】,True,2,1.0,1.0,13.0,,,均標,均標,,均標,均標,,,"[{'name': '在校學業', 'r1': '13%', 'r2': None}, {'name': '在校學業', 'r1': '19%', 'r2': '5%'}]"
113,國立臺灣師範大學,00204,幼兒與家庭科學學系家庭生活與教育組,False,7,7.0,4.0,19.0,3.0,5.0,均標,均標,,,,,,"[{'name': '在校學業', 'r1': '19%', 'r2': '5%'}, {'name': '在校學業', 'r1': '11%', 'r2': None}]"
113,國立臺灣師範大學,00205,幼兒與家庭科學學系幼兒發展與教育組,False,7,7.0,7.0,11.0,,,均標,均標,,,,,,"[{'name': '在校學業', 'r1': '11%', 'r2': None}, {'name': '在校學業', 'r1': '10%', 'r2': None}]"
113,國立臺灣師範大學,00206,公民教育與活動領導學系,False,12,12.0,12.0,10.0,,,前標,均標,,均標,前標,,,"[{'name': '在校學業', 'r1': '10%', 'r2': None}]"
113,國立臺灣師範大學,00206,公民教育與活動領導學系【外加】,True,3,0.0,,,,,前標,均標,,均標,前標,,,
113,國立臺灣師範大學,00207,特殊教育學系,False,6,6.0,6.0,11.0,,,均標,均標,,,,,,"[{'name': '在校學業', 'r1': '11%', 'r2': None}, {'name': '在校學業', 'r1': '2%', 'r2': None}]"
113,國立臺灣師範大學,00208,教育學院學士班,False,7,7.0,7.0,2.0,,,均標,均標,均標,均標,,,,"[{'name': '在校學業', 'r1': '2%', 'r2': None}, {'name': '在校學業', 'r1': '7%', 'r2': None}]"
113,國立臺灣師範大學,00208,教育學院學士班【外加】,True,1,1.0,1.0,7.0,,,均標,均標,均標,均標,,,,"[{'name': '在校學業', 'r1': '7%', 'r2': None}, {'name': '在校學業', 'r1': '18%', 'r2': '16%'}]"
113,國立臺灣師範大學,00209,國文學系,False,25,25.0,17.0,18.0,8.0,16.0,前標,前標,,,前標,,,"[{'name': '在校學業', 'r1': '18%', 'r2': '16%'}]"
113,國立臺灣師範大學,00209,國文學系【外加】,True,1,0.0,,,,,前標,前標,,,前標,,,
113,國立臺灣師範大學,00210,英語學系,False,9,9.0,9.0,9.0,,,前標,頂標,,,,,A級,"[{'name': '在校學業', 'r1': '9%', 'r2': None}, {'name': '在校學業', 'r1': '9%', 'r2': None}]"
113,國立臺灣師範大學,00211,歷史學系,False,7,7.0,7.0,9.0,,,前標,前標,,均標,前標,,A級,"[{'name': '在校學業', 'r1': '9%', 'r2': None}, {'name': '在校學業', 'r1': '12%', 'r2': '16%'}]"
113,國立臺灣師範大學,00212,地理學系,False,10,10.0,5.0,12.0,5.0,16.0,前標,前標,,均標,前標,,,"[{'name': '在校學業', 'r1': '12%', 'r2': '16%'}, {'name': '學測數B', 'r1': None, 'r2': '13'}]"
